"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Écologie, Affaires étrangères, Santé, Économie, Enseignement supérieur et recherche, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour réorienter ma carrière","Au sein d'un département, Au sein d'une commune","CDI","En métropole","Douarnenez / Télétravail ","2200","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels, Autre","Tout ça est trop restrictif, je juge une situation sur l'ensemble du poste et des conditions de travail. ","Une femme","Administration système","","22","2019-07-04T08:57:51+00:00"
"Affaires étrangères, Défense, Santé, Éducation nationale, Agriculture et alimentation, Renseignement, lutte contre la fraude, Interministériel","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En région parisienne","Paris","3500","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","10","2019-07-04T08:11:22+00:00"
"Défense, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département","CDI","En métropole","AURA, DRÔME","2500","2900","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","CDI","Un homme","Autre","Développement méthodes et Product management","25","2019-07-04T07:23:08+00:00"
"Écologie, Défense, Santé, Économie, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Non","Je ne sais pas","Servir l'intérêt général, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Lille","2000","2300","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","12","2019-07-04T07:05:30+00:00"
"Écologie, Justice, Affaires étrangères, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","75,92","5000","5000","Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","CTO","14","2019-07-04T07:01:39+00:00"
"Santé, Éducation nationale, Sports","Non","Je ne sais pas","Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","Freelance, portage salarial","En région parisienne","","4000","4500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Développement fullstack","","13","2019-07-04T06:45:57+00:00"
"Affaires étrangères, Défense, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","Paris","4300","4600","Avoir des horaires de travail flexibles","","Une femme","Product management","","14","2019-07-04T06:37:05+00:00"
"Écologie, Affaires étrangères, Culture, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'une commune","CDI","En région parisienne","","4000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux","","Un homme","Design de services","","20","2019-07-04T06:28:46+00:00"
"Défense, Économie, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable","Au sein d'un ministère","CDI","En métropole","Hauts de France","2500","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","","Un homme","Autre","Ingénieur Linux","5","2019-07-04T05:54:35+00:00"
"Justice, Affaires étrangères, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","75","4600","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","Avoir des  récupérations de temps de travail conformément aux 35h","Une femme","Autre","Direction de Projets/Chargé de mission","19","2019-07-04T05:41:49+00:00"
"Écologie, Justice, Enseignement supérieur et recherche, Interministériel","Oui","Non","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère","Freelance, portage salarial","En région parisienne","Télétravail + réunions ponctuelles","4400","4700","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Développement backend","","20","2019-07-04T05:39:02+00:00"
"Justice, Défense, Économie, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","4000","5000","Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Data scientist","","12","2019-07-04T05:36:45+00:00"
"Justice, Défense, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère","CDI","En région parisienne","","5000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Communication","","20","2019-07-04T05:32:55+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","4800","5200","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage","Travailler sur des sujets technologiques intéressant ( en numéro 1!)","Un homme","Product management","","15","2019-07-04T05:03:12+00:00"
"Écologie, Santé","Oui","Je ne sais pas","Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un ministère","CDI","En métropole","","3000","3800","Pouvoir travailler 1-2 jours par semaine en télétravail","","Une femme","Administration système","","20","2019-07-04T04:48:50+00:00"
"Écologie, Justice, Santé, Enseignement supérieur et recherche, Sécurité / secours","Non","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","3000","4500","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Refuse de se prononcer","Administration système","","22","2019-07-04T04:36:41+00:00"
"Écologie, Affaires étrangères, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Interministériel","Oui","Oui","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","Paris et Hauts de Seine","5000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","","Une femme","Autre","Déléguée à la protection des données et chef de projet décisionnel","10","2019-07-04T04:21:11+00:00"
"Écologie, Affaires étrangères, Santé, Éducation nationale, Sports, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","2200","2800","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Product management","","2","2019-07-03T23:41:15+00:00"
"Écologie, Affaires étrangères, Santé, Économie, Renseignement, lutte contre la fraude, Interministériel","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région","Freelance, portage salarial","En métropole","","2000","4000","Pouvoir travailler à 80-100% en télétravail, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Une femme","Data scientist","","20","2019-07-03T21:57:23+00:00"
